bibItem,creatorstatement,propLabel,listpos,givenName,lastName,fullName,fullName_clusters,fullName_recon_Wikidata,fullName_recon_Wikibase
https://eneoli.wikibase.cloud/entity/Q365,https://eneoli.wikibase.cloud/entity/statement/Q365-FEFA827E-4418-4632-961F-DF6EECB544B3,Author,2,Christine,Jacquet-Pfau,Christine Jacquet-Pfau,Christine Jacquet-Pfau,Christine Jacquet-Pfau,Christine Jacquet-Pfau
https://eneoli.wikibase.cloud/entity/Q510,https://eneoli.wikibase.cloud/entity/statement/Q510-02B4CAFF-87B1-4100-92CF-403B6BF923F7,Author,1,Christine,Jacquet-Pfau,Christine Jacquet-Pfau,Christine Jacquet-Pfau,Christine Jacquet-Pfau,Christine Jacquet-Pfau
https://eneoli.wikibase.cloud/entity/Q509,https://eneoli.wikibase.cloud/entity/statement/Q509-E8F14065-70DB-4820-83AE-F7CABD71CB4E,Author,1,Denis,Jamet,Denis Jamet,Denis Jamet,Denis Jamet,Denis Jamet
https://eneoli.wikibase.cloud/entity/Q408,https://eneoli.wikibase.cloud/entity/statement/Q408-2BD45CD9-9E2B-466A-81E6-CD764ACBEA00,Author,1,Denis,Jamet,Denis Jamet,Denis Jamet,Denis Jamet,Denis Jamet
https://eneoli.wikibase.cloud/entity/Q479,https://eneoli.wikibase.cloud/entity/statement/Q479-B434B9BC-6BE6-4ECA-8A6A-48342F5FA410,Author,1,Maarten,Janssen,Maarten Janssen,Maarten Janssen,Maarten Janssen,Maarten Janssen
https://eneoli.wikibase.cloud/entity/Q459,https://eneoli.wikibase.cloud/entity/statement/Q459-2F393D9F-A36B-4FF8-AE58-6E725D58EA23,Author,1,Aliénor,Jeandidier,Aliénor Jeandidier,Aliénor Jeandidier,Aliénor Jeandidier,Aliénor Jeandidier
https://eneoli.wikibase.cloud/entity/Q1052,https://eneoli.wikibase.cloud/entity/statement/Q1052-17BBA533-A303-496C-97D3-89D9D66C00F6,Author,1,Erika,Jerkus,Erika Jerkus,Erika Jerkus,Erika Jerkus,Erika Jerkus
https://eneoli.wikibase.cloud/entity/Q368,https://eneoli.wikibase.cloud/entity/statement/Q368-60839F50-879F-45F3-9097-15CA31D78004,Author,2,Amélie,Josselin-Leray,Amélie Josselin-Leray,Amélie Josselin-Leray,Amélie Josselin-Leray,Amélie Josselin-Leray
https://eneoli.wikibase.cloud/entity/Q505,https://eneoli.wikibase.cloud/entity/statement/Q505-9C21BBF8-BAE2-4FEC-A32E-81EF758E622C,Author,2,Amélie,Josselin-Leray,Amélie Josselin-Leray,Amélie Josselin-Leray,Amélie Josselin-Leray,Amélie Josselin-Leray
https://eneoli.wikibase.cloud/entity/Q220,https://eneoli.wikibase.cloud/entity/statement/Q220-1287E9D0-C7E9-4471-9FE2-1FE5D337C170,Author,1,Léopold,Julia,Léopold Julia,Léopold Julia,Léopold Julia,Léopold Julia
https://eneoli.wikibase.cloud/entity/Q442,https://eneoli.wikibase.cloud/entity/statement/Q442-76852E3C-2889-4DD3-853D-7A11C734E3BA,Author,2,Hae-Yun,Jung,Hae-Yun Jung,Hae-Yun Jung,Hae-Yun Jung,Hae-Yun Jung
https://eneoli.wikibase.cloud/entity/Q531,https://eneoli.wikibase.cloud/entity/statement/Q531-871DB5A5-6C84-4807-9569-3BAA694BA6B2,Author,3,Hae-Yun,Jung,Hae-Yun Jung,Hae-Yun Jung,Hae-Yun Jung,Hae-Yun Jung
https://eneoli.wikibase.cloud/entity/Q523,https://eneoli.wikibase.cloud/entity/statement/Q523-80892143-F5C5-4C68-9E2F-EC8B33DF3C5C,Author,3,Hae-Yun,Jung,Hae-Yun Jung,Hae-Yun Jung,Hae-Yun Jung,Hae-Yun Jung
https://eneoli.wikibase.cloud/entity/Q358,https://eneoli.wikibase.cloud/entity/statement/Q358-218346FC-0250-40CA-B2EE-1C50A01D5E09,Author,1,Maurice,Kauffer,Maurice Kauffer,Maurice Kauffer,Maurice Kauffer,Maurice Kauffer
