bibItem,creatorstatement,propLabel,listpos,givenName,lastName,fullName,fullName_clusters,fullName_recon_Wikidata,fullName_recon_Wikibase
https://eneoli.wikibase.cloud/entity/Q1045,https://eneoli.wikibase.cloud/entity/statement/Q1045-5F57FC3A-4019-4681-B8E4-202254971BD3,Author,1,,,"""","""","""",""""
https://eneoli.wikibase.cloud/entity/Q1045,https://eneoli.wikibase.cloud/entity/statement/Q1045-72744521-E5F0-4670-8CB7-CA82BDB9CF74,Author,2,,,"Institut de philologie roumaine « Bogdan Petriceicu-Hasdeu », Chișinău (République de Moldavie)""","Institut de philologie roumaine « Bogdan Petriceicu-Hasdeu », Chișinău (République de Moldavie)""","Institut de philologie roumaine « Bogdan Petriceicu-Hasdeu », Chișinău (République de Moldavie)""","Institut de philologie roumaine « Bogdan Petriceicu-Hasdeu », Chișinău (République de Moldavie)"""
https://eneoli.wikibase.cloud/entity/Q1037,https://eneoli.wikibase.cloud/entity/statement/Q1037-68508DE5-8620-4E42-8DA8-DECFE0218F1E,Author,3,,,“Bogdan Petriceicu-Hasdeu” Institute of Romanian Philology,“Bogdan Petriceicu-Hasdeu” Institute of Romanian Philology,“Bogdan Petriceicu-Hasdeu” Institute of Romanian Philology,“Bogdan Petriceicu-Hasdeu” Institute of Romanian Philology
https://eneoli.wikibase.cloud/entity/Q1037,https://eneoli.wikibase.cloud/entity/statement/Q1037-FC330BB3-2A20-44DC-A85F-CAD4815C8F9C,Author,5,,,“Bogdan Petriceicu-Hasdeu” Institute of Romanian Philology,“Bogdan Petriceicu-Hasdeu” Institute of Romanian Philology,“Bogdan Petriceicu-Hasdeu” Institute of Romanian Philology,“Bogdan Petriceicu-Hasdeu” Institute of Romanian Philology
https://eneoli.wikibase.cloud/entity/Q2237,https://eneoli.wikibase.cloud/entity/statement/Q2237-66BA05C1-BECC-4367-A4B9-99AED12846D9,Author,1,,,"Danilovic Jeremic, Jelena","Danilovic Jeremic, Jelena","Danilovic Jeremic, Jelena","Danilovic Jeremic, Jelena"
https://eneoli.wikibase.cloud/entity/Q2291,https://eneoli.wikibase.cloud/entity/statement/Q2291-2926D720-EF09-4F32-B561-7F860987B3D9,Author,1,,,Jakuć,Jakuć,Jakuć,Jakuć
https://eneoli.wikibase.cloud/entity/Q2293,https://eneoli.wikibase.cloud/entity/statement/Q2293-46448758-4528-4DCE-A4D4-A46F83A29CA0,Author,1,,,Lesner,Lesner,Lesner,Lesner
https://eneoli.wikibase.cloud/entity/Q1658,https://eneoli.wikibase.cloud/entity/statement/Q1658-918781D2-3261-4322-AFEE-4958707FF956,Author,1,,,"Grytsenko, Svitlana","Grytsenko, Svitlana","Grytsenko, Svitlana","Grytsenko, Svitlana"
https://eneoli.wikibase.cloud/entity/Q1702,https://eneoli.wikibase.cloud/entity/statement/Q1702-4C295445-2EBB-49A0-9F9C-F82BB1B2D54B,Author,2,Andrea,Abel,Andrea Abel,Andrea Abel,Andrea Abel,Andrea Abel
https://eneoli.wikibase.cloud/entity/Q1602,https://eneoli.wikibase.cloud/entity/statement/Q1602-96654E8D-2EB4-4DE8-9867-FB42BFD6D6CC,Author,1,Giovanni,Adamo,Giovanni Adamo,Giovanni Adamo,Giovanni Adamo,Giovanni Adamo
https://eneoli.wikibase.cloud/entity/Q1719,https://eneoli.wikibase.cloud/entity/statement/Q1719-1028CB2D-1012-4A7E-AB18-0A371DCB5930,Author,1,Arleta,Adamska-Sałaciak,Arleta Adamska-Sałaciak,Arleta Adamska-Sałaciak,Arleta Adamska-Sałaciak,Arleta Adamska-Sałaciak
https://eneoli.wikibase.cloud/entity/Q1603,https://eneoli.wikibase.cloud/entity/statement/Q1603-D1626A1F-B02D-44E7-8BA5-F4FC8084C8D2,Author,1,Andreina,Adelstein,Andreina Adelstein,Andreina Adelstein,Andreina Adelstein,Andreina Adelstein
