bibItem,creatorstatement,propLabel,listpos,givenName,lastName,fullName,fullName_clusters,fullName_recon_Wikidata,Wikidata_Qid,fullName_recon_Wikibase,Wikibase_search
https://dhwiki.wikibase.cloud/entity/Q217,https://dhwiki.wikibase.cloud/entity/statement/Q217-A04A9C83-81DD-408C-A2FD-B9D56CEA30EE,Editor,3,Philippe,Blache,Philippe Blache,Philippe Blache,Philippe Blache,,Philippe Blache,"{""batchcomplete"": """", ""query"": {""wbsearch"": []}}"
https://dhwiki.wikibase.cloud/entity/Q272,https://dhwiki.wikibase.cloud/entity/statement/Q272-EEC0FAB8-AB20-4B88-B2D2-307DB80E9E00,Author,1,Lina,Bountouri,Lina Bountouri,Lina Bountouri,Lina Bountouri,,Lina Bountouri,"{""batchcomplete"": """", ""query"": {""wbsearch"": []}}"
https://dhwiki.wikibase.cloud/entity/Q254,https://dhwiki.wikibase.cloud/entity/statement/Q254-1FC1CA14-73FB-4E10-B45A-A44203853A3E,Author,1,Lina,Bountouri,Lina Bountouri,Lina Bountouri,Lina Bountouri,,Lina Bountouri,"{""batchcomplete"": """", ""query"": {""wbsearch"": []}}"
https://dhwiki.wikibase.cloud/entity/Q264,https://dhwiki.wikibase.cloud/entity/statement/Q264-65051153-4694-4661-BAF0-4231D4E4A070,Author,4,Lina,Bountouri,Lina Bountouri,Lina Bountouri,Lina Bountouri,,Lina Bountouri,"{""batchcomplete"": """", ""query"": {""wbsearch"": []}}"
https://dhwiki.wikibase.cloud/entity/Q266,https://dhwiki.wikibase.cloud/entity/statement/Q266-5213BB57-2A3F-46FF-B531-DBCC456EB603,Author,1,Lina,Bountouri,Lina Bountouri,Lina Bountouri,Lina Bountouri,,Lina Bountouri,"{""batchcomplete"": """", ""query"": {""wbsearch"": []}}"
https://dhwiki.wikibase.cloud/entity/Q283,https://dhwiki.wikibase.cloud/entity/statement/Q283-CC7A6E2A-5AAB-4428-B218-E5A83EEB8F6F,Author,2,Lina,Bountouri,Lina Bountouri,Lina Bountouri,Lina Bountouri,,Lina Bountouri,"{""batchcomplete"": """", ""query"": {""wbsearch"": []}}"
https://dhwiki.wikibase.cloud/entity/Q217,https://dhwiki.wikibase.cloud/entity/statement/Q217-DC919422-7A45-4198-8F8F-E8205455E7DD,Editor,2,Frédéric,Béchet,Frédéric Béchet,Frédéric Béchet,Frédéric Béchet,,Frédéric Béchet,"{""batchcomplete"": """", ""query"": {""wbsearch"": []}}"
https://dhwiki.wikibase.cloud/entity/Q217,https://dhwiki.wikibase.cloud/entity/statement/Q217-6DE41AB2-F872-4521-A900-2B06CA54E685,Editor,1,Nicoletta,Calzolari,Nicoletta Calzolari,Nicoletta Calzolari,Nicoletta Calzolari,,Nicoletta Calzolari,"{""batchcomplete"": """", ""query"": {""wbsearch"": []}}"
https://dhwiki.wikibase.cloud/entity/Q286,https://dhwiki.wikibase.cloud/entity/statement/Q286-E63973D3-6021-4753-9001-277BDFE47EF8,Author,2,Michael,Carroll,Michael Carroll,Michael Carroll,Michael Carroll,,Michael Carroll,"{""batchcomplete"": """", ""query"": {""wbsearch"": []}}"
https://dhwiki.wikibase.cloud/entity/Q271,https://dhwiki.wikibase.cloud/entity/statement/Q271-1B5E6B44-CD42-4438-93F5-E69ECB94DFF4,Author,2,Leda,Charami,Leda Charami,Leda Charami,Leda Charami,,Leda Charami,"{""batchcomplete"": """", ""query"": {""wbsearch"": []}}"
https://dhwiki.wikibase.cloud/entity/Q282,https://dhwiki.wikibase.cloud/entity/statement/Q282-BBDCEBED-486A-4DBB-BDC9-67C27F5D7F18,Author,3,Euan,Cochrane,Euan Cochrane,Euan Cochrane,Euan Cochrane,,Euan Cochrane,"{""batchcomplete"": """", ""query"": {""wbsearch"": []}}"
https://dhwiki.wikibase.cloud/entity/Q260,https://dhwiki.wikibase.cloud/entity/statement/Q260-347C550C-E4B7-42DC-A3FB-8FB39AB7E9C6,Author,2,Jean-Marc,Comment,Jean-Marc Comment,Jean-Marc Comment,Jean-Marc Comment,,Jean-Marc Comment,"{""batchcomplete"": """", ""query"": {""wbsearch"": [{""ns"": 120, ""title"": ""Item:Q2321"", ""pageid"": 3354, ""displaytext"": ""Comment avoir le dernier mot ? Variation, diffusion et l\u00e9gitimation des n\u00e9ologismes en breton""}]}}"
https://dhwiki.wikibase.cloud/entity/Q255,https://dhwiki.wikibase.cloud/entity/statement/Q255-B654DE24-67F8-414D-90F5-8DE2EE80AE29,Author,1,Stacey,Cook,Stacey Cook,Stacey Cook,Stacey Cook,,Stacey Cook,"{""batchcomplete"": """", ""query"": {""wbsearch"": [{""ns"": 120, ""title"": ""Item:Q732"", ""pageid"": 774, ""displaytext"": ""Cook, C. Paul""}]}}"
https://dhwiki.wikibase.cloud/entity/Q482,https://dhwiki.wikibase.cloud/entity/statement/Q482-8E637750-5D64-4804-9596-327D78D99E17,Author,2,Mirjam,Cuper,Mirjam Cuper,Mirjam Cuper,Mirjam Cuper,,Mirjam Cuper,"{""batchcomplete"": """", ""query"": {""wbsearch"": []}}"
https://dhwiki.wikibase.cloud/entity/Q247,https://dhwiki.wikibase.cloud/entity/statement/Q247-BBD28D58-5CEA-437F-89E6-3082837CAEEB,Author,4,Emilio,Delgado,Emilio Delgado,Emilio Delgado,Emilio Delgado,,Emilio Delgado,"{""batchcomplete"": """", ""query"": {""wbsearch"": []}}"
https://dhwiki.wikibase.cloud/entity/Q208,https://dhwiki.wikibase.cloud/entity/statement/Q208-EF69B692-8933-48EB-92DB-DAEA8252AAD0,Author,5,Karen,Detling,Karen Detling,Karen Detling,Karen Detling,,Karen Detling,"{""batchcomplete"": """", ""query"": {""wbsearch"": []}}"
https://dhwiki.wikibase.cloud/entity/Q215,https://dhwiki.wikibase.cloud/entity/statement/Q215-733593C7-2972-466E-8F42-F4355AA7A4DC,Author,1,Kata,Dobás,Kata Dobás,Kata Dobás,Kata Dobás,,Kata Dobás,"{""batchcomplete"": """", ""query"": {""wbsearch"": []}}"
https://dhwiki.wikibase.cloud/entity/Q266,https://dhwiki.wikibase.cloud/entity/statement/Q266-26D55FB4-444C-44B9-82A3-1CCD301B055A,Author,3,Markella,Drakiou,Markella Drakiou,Markella Drakiou,Markella Drakiou,,Markella Drakiou,"{""batchcomplete"": """", ""query"": {""wbsearch"": []}}"
https://dhwiki.wikibase.cloud/entity/Q211,https://dhwiki.wikibase.cloud/entity/statement/Q211-ECD7B3DE-B76D-4ECA-82B2-12784B173A8E,Author,3,MPilar,Escobar Esteban,MPilar Escobar Esteban,MPilar Escobar Esteban,MPilar Escobar Esteban,,MPilar Escobar Esteban,"{""batchcomplete"": """", ""query"": {""wbsearch"": []}}"
https://dhwiki.wikibase.cloud/entity/Q230,https://dhwiki.wikibase.cloud/entity/statement/Q230-F78055B2-BC4D-4168-95F1-FA7BA4ECFF9F,Editor,6,Aritz,Farwell,Aritz Farwell,Aritz Farwell,Aritz Farwell,,Aritz Farwell,"{""batchcomplete"": """", ""query"": {""wbsearch"": []}}"
