bibItem,creatorstatement,propLabel,listpos,givenName,lastName,fullName,fullName_clusters,fullName_recon_Wikidata,fullName_recon_Wikibase
https://dhwiki.wikibase.cloud/entity/Q266,https://dhwiki.wikibase.cloud/entity/statement/Q266-26D55FB4-444C-44B9-82A3-1CCD301B055A,Author,3,Markella,Drakiou,Markella Drakiou,Markella Drakiou,Markella Drakiou,Markella Drakiou
https://dhwiki.wikibase.cloud/entity/Q249,https://dhwiki.wikibase.cloud/entity/statement/Q249-C7E1EB85-8D1A-41BF-9680-E926E9ABC1EE,Author,2,Paul,Duchesne,Paul Duchesne,Paul Duchesne,Paul Duchesne,Paul Duchesne
https://dhwiki.wikibase.cloud/entity/Q286,https://dhwiki.wikibase.cloud/entity/statement/Q286-45282984-97E5-4E76-8482-A914B1ACCD41,Author,4,Mario,Einaudi,Mario Einaudi,Mario Einaudi,Mario Einaudi,Mario Einaudi
https://dhwiki.wikibase.cloud/entity/Q243,https://dhwiki.wikibase.cloud/entity/statement/Q243-BDD19EC9-8331-40EB-A229-AF5F1BA040BD,Author,1,Fredo,Erxleben,Fredo Erxleben,Fredo Erxleben,Fredo Erxleben,Fredo Erxleben
https://dhwiki.wikibase.cloud/entity/Q211,https://dhwiki.wikibase.cloud/entity/statement/Q211-ECD7B3DE-B76D-4ECA-82B2-12784B173A8E,Author,3,MPilar,Escobar Esteban,MPilar Escobar Esteban,MPilar Escobar Esteban,MPilar Escobar Esteban,MPilar Escobar Esteban
https://dhwiki.wikibase.cloud/entity/Q208,https://dhwiki.wikibase.cloud/entity/statement/Q208-1F665680-F0B4-49E0-BEF7-0335E6DAB183,Author,6,Christine Fernsebner,Eslao,Christine Fernsebner Eslao,Christine Fernsebner Eslao,Christine Fernsebner Eslao,Christine Fernsebner Eslao
https://dhwiki.wikibase.cloud/entity/Q230,https://dhwiki.wikibase.cloud/entity/statement/Q230-29EE190B-4B42-40CA-B505-9D1043F54EE3,Editor,5,Ainara,Estarrona,Ainara Estarrona,Ainara Estarrona,Ainara Estarrona,Ainara Estarrona
https://dhwiki.wikibase.cloud/entity/Q286,https://dhwiki.wikibase.cloud/entity/statement/Q286-7D83C92D-393F-4337-BF9E-5190A7EA5D5A,Author,5,Chatham,Ewing,Chatham Ewing,Chatham Ewing,Chatham Ewing,Chatham Ewing
https://dhwiki.wikibase.cloud/entity/Q245,https://dhwiki.wikibase.cloud/entity/statement/Q245-E5C53E3F-F5EE-4227-8AF6-A7343DB39D58,Author,1,Mariam,Farda-Sarbas,Mariam Farda-Sarbas,Mariam Farda-Sarbas,Mariam Farda-Sarbas,Mariam Farda-Sarbas
https://dhwiki.wikibase.cloud/entity/Q267,https://dhwiki.wikibase.cloud/entity/statement/Q267-6466B614-AEDC-4128-B88D-5ACEE0BD8648,Author,1,Alice Santiago,Faria,Alice Santiago Faria,Alice Santiago Faria,Alice Santiago Faria,Alice Santiago Faria
https://dhwiki.wikibase.cloud/entity/Q230,https://dhwiki.wikibase.cloud/entity/statement/Q230-F78055B2-BC4D-4168-95F1-FA7BA4ECFF9F,Editor,6,Aritz,Farwell,Aritz Farwell,Aritz Farwell,Aritz Farwell,Aritz Farwell
https://dhwiki.wikibase.cloud/entity/Q215,https://dhwiki.wikibase.cloud/entity/statement/Q215-A280C13D-7EB1-48E2-9952-1211C782F9ED,Author,2,Zsófia,Fellegi,Zsófia Fellegi,Zsófia Fellegi,Zsófia Fellegi,Zsófia Fellegi
https://dhwiki.wikibase.cloud/entity/Q230,https://dhwiki.wikibase.cloud/entity/statement/Q230-89E0C66A-8B49-43A0-BFCE-01552F7D60EF,Editor,7,Joseba,Fernandez de Landa,Joseba Fernandez de Landa,Joseba Fernandez de Landa,Joseba Fernandez de Landa,Joseba Fernandez de Landa
https://dhwiki.wikibase.cloud/entity/Q270,https://dhwiki.wikibase.cloud/entity/statement/Q270-B81C9478-82F0-4803-B20D-AAAD14F93E71,Author,6,Meghan,Ferriter,Meghan Ferriter,Meghan Ferriter,Meghan Ferriter,Meghan Ferriter
https://dhwiki.wikibase.cloud/entity/Q270,https://dhwiki.wikibase.cloud/entity/statement/Q270-51F5F923-41C5-4216-94F3-A4085F0A45E7,Author,7,Neil,Fitzgerald,Neil Fitzgerald,Neil Fitzgerald,Neil Fitzgerald,Neil Fitzgerald
https://dhwiki.wikibase.cloud/entity/Q223,https://dhwiki.wikibase.cloud/entity/statement/Q223-01DF6A0A-C19A-4C62-A4C3-FC16ADC3235E,Editor,3,Achille,Fokoue,Achille Fokoue,Achille Fokoue,Achille Fokoue,Achille Fokoue
https://dhwiki.wikibase.cloud/entity/Q208,https://dhwiki.wikibase.cloud/entity/statement/Q208-5C3A823A-F6F1-4E96-9231-8A268EA919C8,Author,7,Steven,Folsom,Steven Folsom,Steven Folsom,Steven Folsom,Steven Folsom
https://dhwiki.wikibase.cloud/entity/Q270,https://dhwiki.wikibase.cloud/entity/statement/Q270-CE94ECAB-2821-4267-8FC3-A37E8446E0A8,Author,2,Nele,Gabriëls,Nele Gabriëls,Nele Gabriëls,Nele Gabriëls,Nele Gabriëls
https://dhwiki.wikibase.cloud/entity/Q264,https://dhwiki.wikibase.cloud/entity/statement/Q264-B6A46F21-0F4D-4171-861F-8EE95381ACDB,Author,1,Panorea,Gaitanou,Panorea Gaitanou,Panorea Gaitanou,Panorea Gaitanou,Panorea Gaitanou
https://dhwiki.wikibase.cloud/entity/Q283,https://dhwiki.wikibase.cloud/entity/statement/Q283-814096CF-593C-4853-BE73-DB7BDB98F473,Author,1,Panorea,Gaitanou,Panorea Gaitanou,Panorea Gaitanou,Panorea Gaitanou,Panorea Gaitanou
https://dhwiki.wikibase.cloud/entity/Q241,https://dhwiki.wikibase.cloud/entity/statement/Q241-D6A6FB58-40F5-40B1-8E06-AFECB61D5154,Author,3,Elena,García-Barriocanal,Elena García-Barriocanal,Elena García-Barriocanal,Elena García-Barriocanal,Elena García-Barriocanal
https://dhwiki.wikibase.cloud/entity/Q264,https://dhwiki.wikibase.cloud/entity/statement/Q264-A93DE19B-E670-441D-A5D0-EA5D2475B24D,Editor,1,Emmanouel,Garoufallou,Emmanouel Garoufallou,Emmanouel Garoufallou,Emmanouel Garoufallou,Emmanouel Garoufallou
https://dhwiki.wikibase.cloud/entity/Q209,https://dhwiki.wikibase.cloud/entity/statement/Q209-0260A955-6494-4998-ADE4-938550496051,Author,1,Jose Emilio Labra,Gayo,Jose Emilio Labra Gayo,Jose Emilio Labra Gayo,Jose Emilio Labra Gayo,Jose Emilio Labra Gayo
https://dhwiki.wikibase.cloud/entity/Q271,https://dhwiki.wikibase.cloud/entity/statement/Q271-C9584598-D93C-4EFA-85A9-D8A80B825CFC,Author,4,Christos,Georgis,Christos Georgis,Christos Georgis,Christos Georgis,Christos Georgis
